OPUS ID,Instrument Name,Planet,Intended Target Name,Observation Start Time,Observation Duration (secs)
vg-iss-2-s-c4360305,Voyager ISS,Saturn,Saturn,1981-08-12T17:22:22.080,1.9200
vg-iss-2-s-c4360308,Voyager ISS,Saturn,Saturn,1981-08-12T17:22:23.760,0.2400
co-iss-n1463520173,Cassini ISS,Saturn,Saturn,2004-05-17T20:59:03.038,0.1800
co-iss-n1463520190,Cassini ISS,Saturn,Saturn,2004-05-17T20:59:19.538,0.6800
co-iss-n1463520207,Cassini ISS,Saturn,Saturn,2004-05-17T20:59:36.998,0.2200
co-iss-n1463520224,Cassini ISS,Saturn,Saturn,2004-05-17T20:59:52.218,2.0000
co-iss-n1463520241,Cassini ISS,Saturn,Saturn,2004-05-17T21:00:10.218,1.0000
co-iss-n1463520273,Cassini ISS,Saturn,Saturn,2004-05-17T21:00:37.626,5.6000
co-iss-n1463520290,Cassini ISS,Saturn,Saturn,2004-05-17T21:00:58.229,2.0000
co-iss-n1463520330,Cassini ISS,Saturn,Saturn,2004-05-17T21:01:22.233,18.0000
co-iss-n1463520418,Cassini ISS,Saturn,Saturn,2004-05-17T21:02:30.236,38.0000
co-iss-n1463520474,Cassini ISS,Saturn,Saturn,2004-05-17T21:03:46.244,18.0000
co-iss-n1463520514,Cassini ISS,Saturn,Saturn,2004-05-17T21:04:41.647,2.6000
co-iss-n1463520562,Cassini ISS,Saturn,Saturn,2004-05-17T21:05:24.051,8.2000
co-iss-n1463520595,Cassini ISS,Saturn,Saturn,2004-05-17T21:06:04.055,1.2000
co-iss-n1463520643,Cassini ISS,Saturn,Saturn,2004-05-17T21:06:45.062,8.2000
co-iss-n1463520660,Cassini ISS,Saturn,Saturn,2004-05-17T21:07:09.066,1.2000
co-iss-n1463521916,Cassini ISS,Saturn,Saturn,2004-05-17T21:27:34.188,32.0000
co-iss-n1463521988,Cassini ISS,Saturn,Saturn,2004-05-17T21:28:56.187,22.0000
co-iss-n1463522036,Cassini ISS,Saturn,Saturn,2004-05-17T21:29:56.195,10.0000
co-iss-n1463522070,Cassini ISS,Saturn,Saturn,2004-05-17T21:30:38.998,1.2000
co-iss-n1463522110,Cassini ISS,Saturn,Saturn,2004-05-17T21:31:02.202,18.0000
co-iss-n1463522127,Cassini ISS,Saturn,Saturn,2004-05-17T21:31:36.946,0.2600
co-iss-n1463522144,Cassini ISS,Saturn,Saturn,2004-05-17T21:31:53.646,0.5600
co-iss-n1463522161,Cassini ISS,Saturn,Saturn,2004-05-17T21:32:11.026,0.1800
co-iss-n1463522178,Cassini ISS,Saturn,Saturn,2004-05-17T21:32:27.525,0.6800
co-iss-n1463522195,Cassini ISS,Saturn,Saturn,2004-05-17T21:32:44.985,0.2200
co-iss-n1463522212,Cassini ISS,Saturn,Saturn,2004-05-17T21:33:00.205,2.0000
co-iss-n1463522229,Cassini ISS,Saturn,Saturn,2004-05-17T21:33:18.205,1.0000
