PSDD,NASA PDS Planetary Science Data Dictionary,NULL
OPUS_GENERAL,OPUS General Constraints,PSDD
RING_GEO,Ring Geometry,PSDD
SURFACE_GEO,Surface Geometry,PSDD
OPUS_WAVELENGTH,OPUS Wavelength Constraints,PSDD
OPUS_TYPE_IMAGE,OPUS Image Constraints,PSDD
CASSINI,Cassini Mission,OPUS_GENERAL
COCIRS,Cassini Composite Infrared Spectrometer (CIRS),CASSINI
COISS,Cassini Imaging Science Subsystem (ISS),CASSINI
COUVIS,Cassini UltraViolet Imaging Spectrograph (UVIS),CASSINI
COVIMS,Cassini Visual and Infrared Mapping Spectrometer (VIMS),CASSINI
GALILEO,Galileo Mission,OPUS_GENERAL
GOSSI,Galileo Solid State Imaging (SSI),GALILEO
HST,Hubble Space Telescope,OPUS_GENERAL
VOYAGER,Voyager Mission,OPUS_GENERAL
VGISS,Voyager Imaging Science Subsystem (ISS),VOYAGER
NEWHORIZONS,New Horizons Mission,OPUS_GENERAL
NHLORRI,New Horizons Long-Range Reconnaissance Imager (LORRI),NEWHORIZONS
NHMVIC,New Horizons Multispectral Visible Imaging Camera (MVIC),NEWHORIZONS
